[01/30/26 10:33:54] INFO     signals-bot starting                                                                                                  
                    INFO     run_id=daily_close_scan-20260130T083354Z                                                                              
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                       
                    INFO     Universe size: 114 tickers                                                                                            
┡━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━┩
│ BUY    │ ALGM   │         92 │
│ WAIT   │ AMPX   │         87 │
│ WAIT   │ AAUC   │         57 │
│ WAIT   │ ALKS   │         55 │
│ WAIT   │ ALM    │         31 │
│ WAIT   │ ARRY   │         27 │
│ WAIT   │ ALK    │         27 │
│ WAIT   │ ATEX   │         24 │
│ WAIT   │ ARVN   │         23 │
│ WAIT   │ AAOI   │         20 │
│ WAIT   │ APLS   │         19 │
│ WAIT   │ ASYS   │         19 │
│ WAIT   │ AG     │         19 │
│ WAIT   │ ACMR   │         18 │
│ WAIT   │ AAP    │         17 │
│ WAIT   │ AMAL   │         15 │
│ WAIT   │ AES    │         15 │
│ WAIT   │ ALKT   │         14 │
│ WAIT   │ APLD   │         13 │
│ WAIT   │ APA    │         13 │
│ WAIT   │ APPS   │         13 │
│ WAIT   │ AESI   │         12 │
│ WAIT   │ AGI    │         12 │
│ WAIT   │ AR     │         11 │
│ WAIT   │ AI     │         11 │
│ WAIT   │ AMBQ   │         10 │
│ WAIT   │ AFRM   │         10 │
│ WAIT   │ ACIW   │         10 │
│ WAIT   │ AMN    │          9 │
│ WAIT   │ AMWD   │          9 │
│ WAIT   │ AS     │          9 │
│ WAIT   │ ASAN   │          9 │
│ WAIT   │ APPN   │          9 │
│ WAIT   │ AORT   │          9 │
│ WAIT   │ ADTN   │          9 │
│ WAIT   │ ASGN   │          9 │
│ WAIT   │ ASIX   │          9 │
│ WAIT   │ ABEO   │          8 │
│ WAIT   │ ASTL   │          8 │
│ WAIT   │ ADEA   │          8 │
│ WAIT   │ ANGI   │          8 │
│ WAIT   │ AAL    │          8 │
│ WAIT   │ ARHS   │          8 │
│ WAIT   │ ALTS   │          8 │
│ WAIT   │ AOSL   │          8 │
│ WAIT   │ ASPN   │          8 │
│ WAIT   │ AMPL   │          8 │
│ WAIT   │ ARX    │          7 │
│ WAIT   │ AMTB   │          7 │
│ WAIT   │ ATEC   │          7 │
│ WAIT   │ AREC   │          7 │
│ WAIT   │ ABSI   │          7 │
│ WAIT   │ APGE   │          6 │
│ WAIT   │ ARLO   │          6 │
│ WAIT   │ AIP    │          6 │
│ WAIT   │ AMSC   │          6 │
│ WAIT   │ ARQQ   │          6 │
│ WAIT   │ ASPI   │          6 │
│ WAIT   │ ASTH   │          6 │
│ WAIT   │ ALNT   │          6 │
│ WAIT   │ ATRC   │          6 │
│ WAIT   │ ALMS   │          6 │
│ WAIT   │ ABAT   │          6 │
│ WAIT   │ APTV   │          6 │
│ WAIT   │ AA     │          6 │
│ WAIT   │ ACHC   │          6 │
│ WAIT   │ ACHR   │          6 │
│ WAIT   │ AHCO   │          6 │
│ WAIT   │ AGIO   │          6 │
│ WAIT   │ ACAD   │          6 │
│ WAIT   │ AMRC   │          6 │
│ WAIT   │ ALH    │          6 │
│ WAIT   │ ASTE   │          6 │
│ WAIT   │ ATAI   │          6 │
│ WAIT   │ ATRO   │          5 │
│ WAIT   │ ARQT   │          5 │
│ WAIT   │ ALMU   │          5 │
│ WAIT   │ ADPT   │          5 │
│ WAIT   │ AEO    │          5 │
│ WAIT   │ AMLX   │          5 │
│ WAIT   │ AMKR   │          5 │
│ WAIT   │ ACVA   │          5 │
│ WAIT   │ ALLY   │          5 │
│ WAIT   │ AEHR   │          5 │
│ WAIT   │ ASO    │          5 │
│ WAIT   │ ARWR   │          5 │
│ WAIT   │ ADMA   │          5 │
│ WAIT   │ AGRO   │          5 │
│ WAIT   │ ALHC   │          5 │
│ WAIT   │ ANAB   │          4 │
│ WAIT   │ ADNT   │          4 │
│ WAIT   │ APEI   │          4 │
│ WAIT   │ ALT    │          4 │
│ WAIT   │ APOG   │          4 │
│ WAIT   │ ADUR   │          4 │
│ WAIT   │ AMPH   │          4 │
│ WAIT   │ AQST   │          4 │
│ WAIT   │ AIRO   │          3 │
│ WAIT   │ ACLX   │          3 │
│ WAIT   │ AMBA   │          3 │
│ WAIT   │ AEVA   │          3 │
│ WAIT   │ ABCL   │          3 │
│ WAIT   │ ANNX   │          3 │
│ WAIT   │ AD     │          3 │
│ WAIT   │ ANGO   │          3 │
│ WAIT   │ ABUS   │          3 │
│ WAIT   │ AIRS   │          3 │
│ WAIT   │ ARAI   │          2 │
