[02/04/26 07:40:19] INFO     signals-bot starting                                                                                                  
                    INFO     run_id=daily_close_scan-20260204T054019Z                                                                              
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                       
                    INFO     Universe size: 114 tickers                                                                                            
[02/04/26 07:41:10] INFO     WAIT ARDX conf=3 score=0.035 close=$7.74 volRatio=0.52 ret5=-1.90% brkDist=7.86% atr=5.59% :: no breakout, weak       
                             momentum, low volume                                                                                                  
                    INFO     WAIT AREC conf=9 score=0.085 close=$3.43 volRatio=1.28 ret5=-12.50% brkDist=28.54% atr=15.49% :: no breakout, weak    
                             momentum, low volume                                                                                                  
[02/04/26 07:41:11] INFO     WAIT ARHS conf=16 score=0.160 close=$10.91 volRatio=0.82 ret5=4.50% brkDist=5.50% atr=4.55% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ARLO conf=19 score=0.186 close=$12.72 volRatio=2.79 ret5=-3.64% brkDist=10.80% atr=4.56% :: no breakout, weak    
                             momentum                                                                                                              
[02/04/26 07:41:12] INFO     WAIT ARQQ conf=8 score=0.081 close=$19.79 volRatio=1.21 ret5=-15.10% brkDist=32.23% atr=9.10% :: no breakout, weak    
                             momentum, low volume                                                                                                  
                    INFO     WAIT ARQT conf=5 score=0.045 close=$26.19 volRatio=0.68 ret5=-0.53% brkDist=14.83% atr=3.85% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[02/04/26 07:41:13] INFO     WAIT ARRY conf=5 score=0.047 close=$11.33 volRatio=0.71 ret5=-0.79% brkDist=5.58% atr=7.40% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ARVN conf=6 score=0.061 close=$13.65 volRatio=0.83 ret5=0.22% brkDist=2.29% atr=4.82% :: no breakout, weak       
                             momentum, low volume                                                                                                  
[02/04/26 07:41:14] INFO     WAIT ARWR conf=22 score=0.218 close=$72.14 volRatio=0.82 ret5=7.82% brkDist=6.02% atr=4.94% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ARX conf=11 score=0.113 close=$11.76 volRatio=1.70 ret5=-15.21% brkDist=27.36% atr=6.82% :: no breakout, weak    
                             momentum, low volume                                                                                                  
                    INFO     WAIT AS conf=13 score=0.126 close=$35.95 volRatio=1.89 ret5=-5.59% brkDist=10.12% atr=3.99% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[02/04/26 07:41:15] INFO     WAIT ASAN conf=12 score=0.119 close=$9.25 volRatio=1.79 ret5=-17.04% brkDist=32.09% atr=6.26% :: no breakout, weak    
                             momentum, low volume                                                                                                  
[02/04/26 07:41:16] INFO     WAIT ASGN conf=12 score=0.121 close=$50.77 volRatio=1.72 ret5=0.28% brkDist=4.91% atr=3.84% :: no breakout, weak      
                             momentum, low volume                                                                                                  
[02/04/26 07:41:17] INFO     WAIT ASIX conf=17 score=0.172 close=$17.25 volRatio=1.03 ret5=4.48% brkDist=8.39% atr=4.24% :: no breakout, weak      
                             momentum, low volume                                                                                                  
                    INFO     WAIT ASO conf=23 score=0.225 close=$59.06 volRatio=1.64 ret5=9.03% brkDist=0.72% atr=3.94% :: no breakout, weak       
                             momentum, low volume                                                                                                  
[02/04/26 07:41:18] INFO     WAIT ASPI conf=5 score=0.047 close=$6.31 volRatio=0.70 ret5=-19.00% brkDist=26.63% atr=12.76% :: no breakout, weak    
                             momentum, low volume                                                                                                  
[02/04/26 07:41:19] INFO     WAIT ASTE conf=65 score=0.655 close=$52.96 volRatio=1.27 ret5=9.40% brkDist=-3.86% atr=3.07% :: weak momentum, low    
                             volume                                                                                                                
                    INFO     WAIT ASTH conf=6 score=0.063 close=$21.28 volRatio=0.95 ret5=-0.93% brkDist=27.45% atr=8.06% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[02/04/26 07:41:20] INFO     WAIT ASTL conf=7 score=0.065 close=$4.50 volRatio=0.98 ret5=-1.32% brkDist=6.64% atr=6.82% :: no breakout, weak       
                             momentum, low volume                                                                                                  
                    INFO     WAIT ASYS conf=6 score=0.065 close=$17.60 volRatio=0.97 ret5=0.00% brkDist=5.33% atr=7.14% :: no breakout, weak       
                             momentum, low volume                                                                                                  
[02/04/26 07:41:21] INFO     WAIT ATAI conf=6 score=0.064 close=$3.87 volRatio=0.96 ret5=-0.77% brkDist=7.19% atr=5.38% :: no breakout, weak       
                             momentum, low volume                                                                                                  
[02/04/26 07:41:22] INFO     WAIT ATEC conf=5 score=0.052 close=$14.67 volRatio=0.78 ret5=-3.87% brkDist=37.01% atr=5.61% :: no breakout, weak     
                             momentum, low volume                                                                                                  
                    INFO     WAIT ATEX conf=13 score=0.134 close=$26.55 volRatio=1.18 ret5=2.39% brkDist=12.29% atr=6.75% :: no breakout, weak     
                             momentum, low volume                                                                                                  
[02/04/26 07:41:23] INFO     WAIT ATRC conf=10 score=0.095 close=$38.07 volRatio=1.43 ret5=-0.89% brkDist=11.83% atr=4.74% :: no breakout, weak    
                             momentum, low volume                                                                                                  
                         Signal Summary                          
┏━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━┳━━━━━┳━━━━┳━━━━━┓
┃ Action ┃ Ticker ┃ Confidence ┃ HoldDays ┃ SL ┃ SL% ┃ TP ┃ TP% ┃
┡━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━╇━━━━━╇━━━━╇━━━━━┩
│ SELL   │ ALGM   │         70 │        5 │  - │   - │  - │   - │
└────────┴────────┴────────────┴──────────┴────┴─────┴────┴─────┘
[02/04/26 07:41:24] INFO     Done. Signals generated: 108                                                                                          
[02/04/26 15:10:03] INFO     signals-bot starting                               
                    INFO     run_id=daily_close_scan-20260204T131003Z           
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading
                             /trading-signals/config.yaml                       
                    INFO     Universe size: 114 tickers                         
[02/04/26 15:10:04] INFO     WAIT AA conf=6 score=0.060 close=$61.35            
                             volRatio=0.90 ret5=2.83% brkDist=8.36% atr=5.44% ::
                             no breakout, weak momentum, low volume             
[02/04/26 15:10:05] INFO     WAIT AAL conf=5 score=0.053 close=$14.01           
                             volRatio=0.80 ret5=3.39% brkDist=15.09% atr=3.97%  
                             :: no breakout, weak momentum, low volume          
                    INFO     WAIT AAMI conf=11 score=0.109 close=$51.67         
                             volRatio=1.64 ret5=-7.02% brkDist=8.48% atr=3.54%  
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:06] INFO     WAIT AAOI conf=34 score=0.340 close=$46.12         
                             volRatio=1.03 ret5=23.35% brkDist=6.09% atr=10.34% 
                             :: no breakout, low volume                         
[02/04/26 15:10:07] INFO     WAIT AAP conf=26 score=0.258 close=$50.70          
                             volRatio=1.03 ret5=2.76% brkDist=0.55% atr=4.83% ::
                             no breakout, weak momentum, low volume             
